# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.21611723	-48.44210037
3.22344324	-47.37998250
3.23076924	-53.32304120
3.23809525	-55.11042755
3.24542126	-47.90566548
3.25274727	-47.52379117
3.26007327	-48.08561073
3.26739928	-47.84883360
3.27472529	-48.37188693
3.28205130	-47.80646113
3.28937730	-47.85185242
3.29670331	-48.66133536
3.30402932	-48.30925012
3.31135533	-48.31825590
3.31868133	-49.17484803
3.32600734	-51.96320135
3.33333335	-61.94468578
3.34065935	-58.08363157
3.34798536	-51.86666261
3.35531137	-49.72990217
3.36263738	-50.25690588
3.36996338	-50.88385730
3.37728939	-49.38287913
3.38461540	-49.11316085
3.39194141	-50.01278307
3.39926741	-49.69923066
3.40659342	-49.66957891
3.41391943	-50.03888544
3.42124544	-50.03735328
3.42857144	-50.64932078
3.43589745	-51.10286869
3.44322346	-50.62086447
3.45054947	-50.74905366
3.45787547	-51.32677712
3.46520148	-51.38009385
3.47252749	-51.76999679
3.47985349	-51.88463617
3.48717950	-51.70281340
3.49450551	-53.48458085
3.50183152	-54.58159596
3.50915752	-52.92680439
3.51648353	-52.94062452
3.52380954	-52.51198678
3.53113555	-53.36373717
3.53846155	-60.30365281
3.54578756	-61.14802841
3.55311357	-54.03799828
3.56043958	-53.65523752
3.56776558	-53.90944798
3.57509159	-53.93951994
3.58241760	-54.63952195
3.58974361	-55.10482247
3.59706961	-58.42509032
3.60439562	-82.04403803
3.61172163	-62.25610942
3.61904763	-61.59603118
3.62637364	-57.49164493
3.63369965	-55.48254637
3.64102566	-59.94052732
3.64835166	-72.01998390
3.65567767	-72.14318709
3.66300368	-67.52638136
3.67032969	-65.34531770
3.67765569	-59.95857136
3.68498170	-60.09812138
3.69230771	-59.95321084
3.69963372	-58.92803763
3.70695972	-57.07167913
3.71428573	-56.51557422
3.72161174	-56.71844066
3.72893774	-58.14501033
3.73626375	-58.65200352
3.74358976	-57.84193683
3.75091577	-58.38565450
3.75824177	-58.49597901
3.76556778	-57.53674066
3.77289379	-57.76510782
3.78021980	-58.31729579
3.78754580	-58.85448425
3.79487181	-62.85078124
3.80219782	-80.72154291
3.80952383	-71.39891125
3.81684983	-71.00690954
3.82417584	-68.35276510
3.83150185	-61.49690130
3.83882786	-60.68029050
3.84615386	-61.91866610
3.85347987	-62.58051494
3.86080588	-62.21797639
3.86813188	-62.04178128
3.87545789	-60.70159883
3.88278390	-59.12532018
3.89010991	-60.23559932
3.89743591	-62.38021343
